"","Country","Region","Market","Product","Date","Open","High","Low","Close","Currency"
"","Philippines","Market Average","Market Average","beans","2016-01-01","90.98","91.63","90.32","90.99","PHP"
"","Philippines","Market Average","Market Average","beans","2016-02-01","91.17","91.78","90.56","90.78","PHP"
"","Philippines","Market Average","Market Average","beans","2016-03-01","90.99","91.61","90.38","91.03","PHP"
"","Philippines","Market Average","Market Average","beans","2016-04-01","91.28","91.87","90.7","91.55","PHP"
"","Philippines","Market Average","Market Average","beans","2016-05-01","91.69","92.5","91.09","92.5","PHP"
"","Philippines","Market Average","Market Average","beans","2016-06-01","92.57","93.26","91.87","92.13","PHP"
"","Philippines","Market Average","Market Average","beans","2016-07-01","92.08","92.76","91.41","92.76","PHP"
"","Philippines","Market Average","Market Average","beans","2016-08-01","92.76","93.46","92.05","92.37","PHP"
"","Philippines","Market Average","Market Average","beans","2016-09-01","92.13","92.8","91.46","91.77","PHP"
"","Philippines","Market Average","Market Average","beans","2016-10-01","91.79","93.28","91.15","93.28","PHP"
"","Philippines","Market Average","Market Average","beans","2016-11-01","93.02","93.96","91.78","91.78","PHP"
"","Philippines","Market Average","Market Average","beans","2016-12-01","91.6","92.57","90.63","90.81","PHP"
"","Philippines","Market Average","Market Average","beans","2017-01-01","90.98","91.86","90.1","90.96","PHP"
"","Philippines","Market Average","Market Average","beans","2017-02-01","90.9","91.66","90.15","91.39","PHP"
"","Philippines","Market Average","Market Average","beans","2017-03-01","91.51","92.22","89.1","89.1","PHP"
"","Philippines","Market Average","Market Average","beans","2017-04-01","89.28","90.55","87.94","87.94","PHP"
"","Philippines","Market Average","Market Average","beans","2017-05-01","88.55","94.55","87.37","94.55","PHP"
"","Philippines","Market Average","Market Average","beans","2017-06-01","94.52","97.38","91.66","91.98","PHP"
"","Philippines","Market Average","Market Average","beans","2017-07-01","91.75","94.15","89.35","91.97","PHP"
"","Philippines","Market Average","Market Average","beans","2017-08-01","92.57","94.4","90.74","92.05","PHP"
"","Philippines","Market Average","Market Average","beans","2017-09-01","91.55","93.02","90.11","93.02","PHP"
"","Philippines","Market Average","Market Average","beans","2017-10-01","93.24","95.61","91.9","95.61","PHP"
"","Philippines","Market Average","Market Average","beans","2017-11-01","94.89","96.47","92.49","92.49","PHP"
"","Philippines","Market Average","Market Average","beans","2017-12-01","92.32","94.71","90.7","94.71","PHP"
"","Philippines","Market Average","Market Average","beans","2018-01-01","94.47","96.19","92.75","95.74","PHP"
"","Philippines","Market Average","Market Average","beans","2018-02-01","94.86","96.34","91.83","91.83","PHP"
"","Philippines","Market Average","Market Average","beans","2018-03-01","91.78","93.54","90.02","92.7","PHP"
"","Philippines","Market Average","Market Average","beans","2018-04-01","92.59","94.03","91.14","92.41","PHP"
"","Philippines","Market Average","Market Average","beans","2018-05-01","92.1","93.24","90.96","92.29","PHP"
"","Philippines","Market Average","Market Average","beans","2018-06-01","92.5","93.43","90.8","90.8","PHP"
"","Philippines","Market Average","Market Average","beans","2018-07-01","90.84","91.94","88.67","88.67","PHP"
"","Philippines","Market Average","Market Average","beans","2018-08-01","89.28","90.6","87.95","89.71","PHP"
"","Philippines","Market Average","Market Average","beans","2018-09-01","90.14","91.22","83.48","83.48","PHP"
"","Philippines","Market Average","Market Average","beans","2018-10-01","84.27","87.25","81.3","83.24","PHP"
"","Philippines","Market Average","Market Average","beans","2018-11-01","84.78","87.07","82.5","83.92","PHP"
"","Philippines","Market Average","Market Average","beans","2018-12-01","84.64","86.43","82.84","84.74","PHP"
"","Philippines","Market Average","Market Average","beans","2019-01-01","86.17","91.17","84.78","91.17","PHP"
"","Philippines","Market Average","Market Average","beans","2019-02-01","91.6","94.05","87.4","87.4","PHP"
"","Philippines","Market Average","Market Average","beans","2019-03-01","87.8","90.39","85.2","86.59","PHP"
"","Philippines","Market Average","Market Average","beans","2019-04-01","87.46","89.73","85.44","89.73","PHP"
"","Philippines","Market Average","Market Average","beans","2019-05-01","89.36","92.2","87.42","92.2","PHP"
"","Philippines","Market Average","Market Average","beans","2019-06-01","91.92","93.97","89.87","91.98","PHP"
"","Philippines","Market Average","Market Average","beans","2019-07-01","91.25","92.85","89.68","92.85","PHP"
"","Philippines","Market Average","Market Average","beans","2019-08-01","92.24","93.69","90.79","91.19","PHP"
"","Philippines","Market Average","Market Average","beans","2019-09-01","90.2","91.42","88.98","90.97","PHP"
"","Philippines","Market Average","Market Average","beans","2019-10-01","90.52","91.56","87.49","87.49","PHP"
"","Philippines","Market Average","Market Average","beans","2019-11-01","86.88","88.47","85.29","86.88","PHP"
"","Philippines","Market Average","Market Average","beans","2019-12-01","87.16","88.39","85.93","88.23","PHP"
"","Philippines","Market Average","Market Average","beans","2020-01-01","87.93","89.1","86.82","89.1","PHP"
"","Philippines","Market Average","Market Average","beans","2020-02-01","89.36","90.82","88.3","90.82","PHP"
"","Philippines","Market Average","Market Average","beans","2020-03-01","90.73","91.85","89.6","90.42","PHP"
"","Philippines","Market Average","Market Average","beans","2020-04-01","90.45","91.38","89.53","90.74","PHP"
"","Philippines","Market Average","Market Average","beans","2020-05-01","90.72","99.89","89.93","99.89","PHP"
"","Philippines","Market Average","Market Average","beans","2020-06-01","99.23","102.48","95.34","95.34","PHP"
"","Philippines","Market Average","Market Average","beans","2020-07-01","94.44","97.35","91.52","92.46","PHP"
"","Philippines","Market Average","Market Average","beans","2020-08-01","92.78","95.1","90.47","93.31","PHP"
"","Philippines","Market Average","Market Average","beans","2020-09-01","92.57","94.37","90.77","93.09","PHP"
"","Philippines","Market Average","Market Average","beans","2020-10-01","93.11","94.52","91.7","93.45","PHP"
"","Philippines","Market Average","Market Average","beans","2020-11-01","93.24","94.37","92.11","92.79","PHP"
"","Philippines","Market Average","Market Average","beans","2020-12-01","92.9","93.84","91.96","92.04","PHP"
"","Philippines","Market Average","Market Average","beans","2021-01-01","92.19","95.08","91.31","95.08","PHP"
"","Philippines","Market Average","Market Average","beans","2021-02-01","95.14","98.18","93.54","98.18","PHP"
"","Philippines","Market Average","Market Average","beans","2021-03-01","97.65","101.72","95.7","101.72","PHP"
"","Philippines","Market Average","Market Average","beans","2021-04-01","101.08","106.25","98.57","106.25","PHP"
"","Philippines","Market Average","Market Average","beans","2021-05-01","104.69","107.9","99.52","99.52","PHP"
"","Philippines","Market Average","Market Average","beans","2021-06-01","98.28","101.49","93.75","93.75","PHP"
"","Philippines","Market Average","Market Average","beans","2021-07-01","93.55","96.58","90.51","95.8","PHP"
"","Philippines","Market Average","Market Average","beans","2021-08-01","95.07","97.65","92.5","95.4","PHP"
"","Philippines","Market Average","Market Average","beans","2021-09-01","95","96.95","93.04","95","PHP"
"","Philippines","Market Average","Market Average","beans","2021-10-01","95.18","96.68","93.69","94.9","PHP"
"","Philippines","Market Average","Market Average","beans","2021-11-01","95","96.19","93.81","95.38","PHP"
"","Philippines","Market Average","Market Average","beans","2021-12-01","95.74","96.72","94.76","95","PHP"
"","Philippines","Market Average","Market Average","beans","2022-01-01","95.25","97","94.36","97","PHP"
"","Philippines","Market Average","Market Average","beans","2022-02-01","97.35","98.53","96.2","98.53","PHP"
"","Philippines","Market Average","Market Average","beans","2022-03-01","98.34","100","97.23","100","PHP"
"","Philippines","Market Average","Market Average","beans","2022-04-01","99.92","101.13","98.7","100","PHP"
"","Philippines","Market Average","Market Average","beans","2022-05-01","99.46","100.46","97.5","97.5","PHP"
"","Philippines","Market Average","Market Average","beans","2022-06-01","97.32","98.54","96.11","97.5","PHP"
"","Philippines","Market Average","Market Average","beans","2022-07-01","97.24","98.23","96.25","97.5","PHP"
"","Philippines","Market Average","Market Average","beans","2022-08-01","97.17","98.83","96.33","98.83","PHP"
"","Philippines","Market Average","Market Average","beans","2022-09-01","98.64","99.73","97.55","98.75","PHP"
"","Philippines","Market Average","Market Average","beans","2022-10-01","98.39","103.46","97.49","103.46","PHP"
"","Philippines","Market Average","Market Average","beans","2022-11-01","103.07","110.51","100.46","110.51","PHP"
"","Philippines","Market Average","Market Average","beans","2022-12-01","108.81","118.75","104.57","118.75","PHP"
"","Philippines","Market Average","Market Average","beans","2023-01-01","116.47","122.2","110.74","112.9","PHP"
"","Philippines","Market Average","Market Average","beans","2023-02-01","110.27","114.65","105.89","107.43","PHP"
"","Philippines","Market Average","Market Average","beans","2023-03-01","106.21","109.59","102.6","102.6","PHP"
"","Philippines","Market Average","Market Average","beans","2023-04-01","100.96","103.88","98.04","98.75","PHP"
"","Philippines","Market Average","Market Average","beans","2023-05-01","98.65","101.01","96.3","98.75","PHP"
"","Philippines","Market Average","Market Average","beans","2023-06-01","98.68","100.48","96.88","98.75","PHP"
"","Philippines","Market Average","Market Average","beans","2023-07-01","99.41","100.81","98.01","98.75","PHP"
"","Philippines","Market Average","Market Average","beans","2023-08-01","99.64","100.79","98.49","98.85","PHP"
"","Philippines","Market Average","Market Average","beans","2023-09-01","99.96","100.98","98.75","98.75","PHP"
"","Philippines","Market Average","Market Average","beans","2023-10-01","99.82","100.85","98.75","98.75","PHP"
"","Philippines","Market Average","Market Average","beans","2023-11-01","99.82","100.81","98.75","98.75","PHP"
"","Philippines","Market Average","Market Average","beans","2023-12-01","99.63","101.25","98.66","101.25","PHP"
"","Philippines","Market Average","Market Average","beans","2024-01-01","101.88","103.03","100.73","102.5","PHP"
"","Philippines","Market Average","Market Average","beans","2024-02-01","102.59","103.59","101.59","102.5","PHP"
"","Philippines","Market Average","Market Average","beans","2024-03-01","102.62","103.48","101.77","102.5","PHP"
"","Philippines","Market Average","Market Average","beans","2024-04-01","102.22","102.99","100","100","PHP"
"","Philippines","Market Average","Market Average","beans","2024-05-01","99.86","101.08","97.5","97.5","PHP"
"","Philippines","Market Average","Market Average","beans","2024-06-01","97.61","99.06","96.16","97.5","PHP"
"","Philippines","Market Average","Market Average","beans","2024-07-01","97.64","98.79","96.49","97.5","PHP"
"","Philippines","Market Average","Market Average","beans","2024-08-01","97.68","107.5","96.73","107.5","PHP"
"","Philippines","Market Average","Market Average","beans","2024-09-01","107.45","110.87","104.03","107.5","PHP"
"","Philippines","Market Average","Market Average","beans","2024-10-01","106.66","109.24","104.08","106.57","PHP"
"","Philippines","Market Average","Market Average","beans","2024-11-01","106.68","108.75","104.72","108.75","PHP"
"","Philippines","Market Average","Market Average","beans","2024-12-01","107.66","109.5","105.83","106.8","PHP"
"","Philippines","Market Average","Market Average","beans","2025-01-01","106.21","107.67","104.74","106.67","PHP"
"","Philippines","Market Average","Market Average","beans","2025-02-01","106.09","107.29","101.89","101.89","PHP"
"","Philippines","Market Average","Market Average","beans","2025-03-01","101.54","103.64","99.44","103.58","PHP"
"","Philippines","Market Average","Market Average","beans","2025-04-01","103.85","105.76","101.95","105","PHP"
"","Philippines","Market Average","Market Average","beans","2025-05-01","104.47","106.07","100","100","PHP"
"","Philippines","Market Average","Market Average","beans","2025-06-01","100.68","105.38","98.36","105.38","PHP"
"","Philippines","Market Average","Market Average","beans","2025-07-01","105.72","111.25","102.75","111.25","PHP"
"","Philippines","Market Average","Market Average","beans","2025-08-01","110.41","114.03","106.79","111.41","PHP"
"","Philippines","Market Average","Market Average","beans","2025-09-01","111.02","113.8","108.25","111.42","PHP"
"","Philippines","Market Average","Market Average","beans","2025-10-01","110.59","112.71","108.46","111.34","PHP"
"","Philippines","Market Average","Market Average","beans","2025-11-01","110.34","112.02","108.66","111.5","PHP"
"","Philippines","Market Average","Market Average","cabbage","2007-01-01","28.39","31.87","26","28.99","PHP"
"","Philippines","Market Average","Market Average","cabbage","2007-02-01","29.55","32.55","26.56","28.73","PHP"
"","Philippines","Market Average","Market Average","cabbage","2007-03-01","28.98","31.89","26.07","26.16","PHP"
"","Philippines","Market Average","Market Average","cabbage","2007-04-01","26.26","29.19","23.34","26.53","PHP"
"","Philippines","Market Average","Market Average","cabbage","2007-05-01","27.37","30.05","24.68","27.86","PHP"
"","Philippines","Market Average","Market Average","cabbage","2007-06-01","29.01","31.81","26.21","31.01","PHP"
"","Philippines","Market Average","Market Average","cabbage","2007-07-01","32.45","35.75","29.15","29.73","PHP"
"","Philippines","Market Average","Market Average","cabbage","2007-08-01","30.26","33.53","26.99","30.52","PHP"
"","Philippines","Market Average","Market Average","cabbage","2007-09-01","31.43","34.52","28.35","30.95","PHP"
"","Philippines","Market Average","Market Average","cabbage","2007-10-01","31.61","34.71","28.5","29.44","PHP"
"","Philippines","Market Average","Market Average","cabbage","2007-11-01","30.07","33.2","26.95","29.23","PHP"
"","Philippines","Market Average","Market Average","cabbage","2007-12-01","30.19","33.16","27.22","29.2","PHP"
"","Philippines","Market Average","Market Average","cabbage","2008-01-01","30.35","33.32","27.38","31.2","PHP"
"","Philippines","Market Average","Market Average","cabbage","2008-02-01","32.75","35.9","28.91","28.91","PHP"
"","Philippines","Market Average","Market Average","cabbage","2008-03-01","29.86","33.27","25.25","25.25","PHP"
"","Philippines","Market Average","Market Average","cabbage","2008-04-01","26.37","30.1","23.09","30.1","PHP"
"","Philippines","Market Average","Market Average","cabbage","2008-05-01","32.64","36.49","28.8","32.96","PHP"
"","Philippines","Market Average","Market Average","cabbage","2008-06-01","34.72","42.41","31.32","42.41","PHP"
"","Philippines","Market Average","Market Average","cabbage","2008-07-01","44.72","51.31","37.38","37.38","PHP"
"","Philippines","Market Average","Market Average","cabbage","2008-08-01","36.24","41.4","31.07","36.64","PHP"
"","Philippines","Market Average","Market Average","cabbage","2008-09-01","36.4","40.22","32.57","34.69","PHP"
"","Philippines","Market Average","Market Average","cabbage","2008-10-01","34.03","37.61","30.46","34.3","PHP"
"","Philippines","Market Average","Market Average","cabbage","2008-11-01","34.62","38.06","31.18","35.22","PHP"
"","Philippines","Market Average","Market Average","cabbage","2008-12-01","35.82","39.36","32.29","37.83","PHP"
"","Philippines","Market Average","Market Average","cabbage","2009-01-01","38.94","42.88","24.94","24.94","PHP"
"","Philippines","Market Average","Market Average","cabbage","2009-02-01","24.83","30.15","19.51","23.52","PHP"
"","Philippines","Market Average","Market Average","cabbage","2009-03-01","25.33","28.13","22.53","25.37","PHP"
"","Philippines","Market Average","Market Average","cabbage","2009-04-01","27.82","30.4","25.23","27.66","PHP"
"","Philippines","Market Average","Market Average","cabbage","2009-05-01","30.61","33.38","27.84","31.77","PHP"
"","Philippines","Market Average","Market Average","cabbage","2009-06-01","34.73","37.98","31.39","31.39","PHP"
"","Philippines","Market Average","Market Average","cabbage","2009-07-01","33.1","36.66","29.53","32.51","PHP"
"","Philippines","Market Average","Market Average","cabbage","2009-08-01","34.12","37.43","30.81","32.83","PHP"
"","Philippines","Market Average","Market Average","cabbage","2009-09-01","33.89","37.24","30.53","33.99","PHP"
"","Philippines","Market Average","Market Average","cabbage","2009-10-01","35.1","53.89","31.69","53.89","PHP"
"","Philippines","Market Average","Market Average","cabbage","2009-11-01","57.04","73.12","40.96","60.71","PHP"
"","Philippines","Market Average","Market Average","cabbage","2009-12-01","56.64","64.98","34.87","34.87","PHP"
"","Philippines","Market Average","Market Average","cabbage","2010-01-01","30.52","37.84","23.2","35.39","PHP"
"","Philippines","Market Average","Market Average","cabbage","2010-02-01","33.59","38.39","28.45","28.45","PHP"
"","Philippines","Market Average","Market Average","cabbage","2010-03-01","26.92","30.55","23.08","23.08","PHP"
"","Philippines","Market Average","Market Average","cabbage","2010-04-01","23.38","26.24","20.52","24.59","PHP"
"","Philippines","Market Average","Market Average","cabbage","2010-05-01","26.35","28.96","23.74","26.63","PHP"
"","Philippines","Market Average","Market Average","cabbage","2010-06-01","28.98","34.07","26.3","34.07","PHP"
"","Philippines","Market Average","Market Average","cabbage","2010-07-01","37.43","42.18","27.17","27.17","PHP"
"","Philippines","Market Average","Market Average","cabbage","2010-08-01","27.71","32.74","22.67","25.75","PHP"
"","Philippines","Market Average","Market Average","cabbage","2010-09-01","27.24","30.78","24.23","30.78","PHP"
"","Philippines","Market Average","Market Average","cabbage","2010-10-01","32.85","36.65","28.1","28.1","PHP"
"","Philippines","Market Average","Market Average","cabbage","2010-11-01","28.96","32.58","25.33","28.95","PHP"
"","Philippines","Market Average","Market Average","cabbage","2010-12-01","30.39","33.37","27.4","29.93","PHP"
"","Philippines","Market Average","Market Average","cabbage","2011-01-01","31.09","34.1","28.08","30.95","PHP"
"","Philippines","Market Average","Market Average","cabbage","2011-02-01","32.19","35.28","29.09","31.8","PHP"
"","Philippines","Market Average","Market Average","cabbage","2011-03-01","32.8","35.99","29.62","33.36","PHP"
"","Philippines","Market Average","Market Average","cabbage","2011-04-01","34.37","37.71","31.02","32.55","PHP"
"","Philippines","Market Average","Market Average","cabbage","2011-05-01","33.11","36.49","29.73","31.96","PHP"
"","Philippines","Market Average","Market Average","cabbage","2011-06-01","32.72","35.98","29.47","30.37","PHP"
"","Philippines","Market Average","Market Average","cabbage","2011-07-01","31.15","36.73","27.9","36.73","PHP"
"","Philippines","Market Average","Market Average","cabbage","2011-08-01","38.81","43.85","33.76","42.82","PHP"
"","Philippines","Market Average","Market Average","cabbage","2011-09-01","43.78","48.83","38.72","38.75","PHP"
"","Philippines","Market Average","Market Average","cabbage","2011-10-01","38.12","57.48","33.55","57.48","PHP"
"","Philippines","Market Average","Market Average","cabbage","2011-11-01","59","74.74","43.26","51.65","PHP"
"","Philippines","Market Average","Market Average","cabbage","2011-12-01","46.85","54.25","39.45","41.69","PHP"
"","Philippines","Market Average","Market Average","cabbage","2012-01-01","38.66","43.52","33.8","34.88","PHP"
